battle_url,location
https://en.wikipedia.org/wiki/Battle_of_Haliartus,"Haliartus, Boeotia38°22′45″N 23°05′16″E﻿ / ﻿38.37917°N 23.08778°E﻿ / 38.37917; 23.08778"
https://en.wikipedia.org/wiki/Battle_of_Nemea_(394_BC),"Nemea, Peloponnese, present-day Greece37°48′32″N 22°42′37″E﻿ / ﻿37.8089°N 22.7103°E﻿ / 37.8089; 22.7103"
https://en.wikipedia.org/wiki/Battle_of_Cnidus,"Off the coast of Cnidus, in the Aegean Sea(modern-day Yazıköy, Muğla, Turkey)36°41′09″N 27°22′30″E﻿ / ﻿36.68583°N 27.37500°E﻿ / 36.68583; 27.37500"
https://en.wikipedia.org/wiki/Battle_of_Coronea_(394_BC),Coronea38°21′N 22°58′E﻿ / ﻿38.350°N 22.967°E﻿ / 38.350; 22.967
https://en.wikipedia.org/wiki/Siege_of_Tauromenium_(394_BC),Tauromenium
https://en.wikipedia.org/wiki/Battle_of_Abacaenum,Abacaenum
https://en.wikipedia.org/wiki/Battle_of_Chrysas,"Near the river Chrysas, Sicily"
https://en.wikipedia.org/wiki/Battle_of_Lechaeum,"Lechaeum, near Corinth37°56′03″N 22°53′03″E﻿ / ﻿37.934142°N 22.884225°E﻿ / 37.934142; 22.884225"
https://en.wikipedia.org/wiki/Battle_of_the_Allia,"Allia River, near Rome42°1′3″N 12°31′12″E﻿ / ﻿42.01750°N 12.52000°E﻿ / 42.01750; 12.52000"
https://en.wikipedia.org/wiki/Battle_of_the_Elleporus,"Stilaro river, Calabria"
https://en.wikipedia.org/wiki/Siege_of_Theodosia_(389_BC),"Theodosia, Bosporus"
https://en.wikipedia.org/wiki/Siege_of_Rhegium,"Rhegium, Calabria"
https://en.wikipedia.org/wiki/Siege_of_Mantinea,Mantineia
https://en.wikipedia.org/wiki/Battle_of_Pharos,Off the island of Pharos
https://en.wikipedia.org/wiki/Battle_of_Labrytai,"Labrytai, Bosporan Kingdom"
https://en.wikipedia.org/wiki/Battle_of_Cronium,"Cronium, Sicily"
https://en.wikipedia.org/wiki/Battle_of_Naxos,Naxos37°06′25″N 25°22′32″E﻿ / ﻿37.106821°N 25.375576°E﻿ / 37.106821; 25.375576
https://en.wikipedia.org/wiki/Battle_of_Tegyra,"Tegyra, near Orchomenus, Boeotia38°32′03″N 22°57′28″E﻿ / ﻿38.534199°N 22.957728°E﻿ / 38.534199; 22.957728"
https://en.wikipedia.org/wiki/Battle_of_Leuctra,Boeotia38°15′53″N 23°10′27″E﻿ / ﻿38.2647°N 23.1743°E﻿ / 38.2647; 23.1743
https://en.wikipedia.org/wiki/Siege_of_Theodosia_(c._365_BC),"Theodosia, Bosporus"
https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae_(364_BC),Cynoscephalae
https://en.wikipedia.org/wiki/Battle_of_Mantinea_(362_BC),"Near Mantineia, Arcadia37°36′N 22°24′E﻿ / ﻿37.6°N 22.4°E﻿ / 37.6; 22.4"
https://en.wikipedia.org/wiki/Battle_of_the_Anio_River_(361_BC),"Via Salaria and Anio River, Italy"
https://en.wikipedia.org/wiki/Siege_of_Theodosia_(c._360_BC),"Theodosia, Bosporus"
https://en.wikipedia.org/wiki/Expansion_of_Macedonia_under_Philip_II,"Thrace, Illyria, Greece, Asia Minor"
https://en.wikipedia.org/wiki/Battle_of_Pedum_(358_BC),"Pedum in Latium, Italy"
https://en.wikipedia.org/wiki/Battle_of_Erigon_Valley,"Erigon valley, Illyria (present-day North Macedonia)"
https://en.wikipedia.org/wiki/Battle_of_Embata,"Chios, Greece"
https://en.wikipedia.org/wiki/Battle_of_Crocus_Field,"Thessaly, Greece"
https://en.wikipedia.org/wiki/Battle_of_Guiling,"Handan, Daliang, and Guiling(Modern-day Handan, Kaifeng and Changyuan of Henan)"
https://en.wikipedia.org/wiki/Battle_of_Mount_Gaurus,"Mount Gaurus, near Cumae, Italy40°50′55.000″N 14°3′13.000″E﻿ / ﻿40.84861111°N 14.05361111°E﻿ / 40.84861111; 14.05361111"
